case_id,category,architecture,has_ground_truth,precision_at_k,recall_at_k,map_at_k,mrr_at_k,relevant_found,relevant_total,retrieved_count,k,matched_source_ids,matched_chunk_ids
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,True,0.25,0.6667,0.3333,0.5,2,3,8,8,"[588, 589]",[]
hk_university_commercialization_hku,hong_kong_university_commercialization,coverage_rag,True,0.25,0.6667,0.3333,0.5,2,3,8,8,"[588, 589]",[]
hk_university_commercialization_hku,hong_kong_university_commercialization,plan_execute,True,0.25,0.6667,0.3333,0.5,2,3,4,8,"[588, 589]",[]
hk_university_commercialization_hku,hong_kong_university_commercialization,react_loop,True,0.25,0.6667,0.3333,0.5,2,3,8,8,"[588, 589]",[]
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,True,0.5,1.0,2.0,1.0,2,2,7,8,"[592, 594]",[]
hk_university_commercialization_cuhk,hong_kong_university_commercialization,coverage_rag,True,0.5,1.0,2.0,1.0,2,2,7,8,"[592, 594]",[]
hk_university_commercialization_cuhk,hong_kong_university_commercialization,plan_execute,True,0.5,1.0,2.0,1.0,2,2,4,8,"[592, 594]",[]
hk_university_commercialization_cuhk,hong_kong_university_commercialization,react_loop,True,0.5,1.0,2.0,1.0,2,2,7,8,"[592, 594]",[]
hk_university_support_comparison,comparison,deterministic_controller,True,0.375,0.2,0.1875,1.0,2,10,8,8,"[588, 592]",[]
hk_university_support_comparison,comparison,coverage_rag,True,0.375,0.2,0.1875,1.0,2,10,8,8,"[588, 592]",[]
hk_university_support_comparison,comparison,plan_execute,True,0.375,0.2,0.21,1.0,2,10,6,8,"[592, 608]",[]
hk_university_support_comparison,comparison,react_loop,True,0.375,0.2,0.1875,1.0,2,10,8,8,"[588, 592]",[]
hk_startup_support_official_sources,official_source_audit,deterministic_controller,True,0.375,0.2727,0.1121,0.3333,3,11,8,8,"[588, 589, 613]",[]
hk_startup_support_official_sources,official_source_audit,coverage_rag,True,0.375,0.2727,0.1121,0.3333,3,11,8,8,"[588, 589, 613]",[]
hk_startup_support_official_sources,official_source_audit,plan_execute,True,0.125,0.0909,0.0303,0.3333,1,11,4,8,[588],[]
hk_startup_support_official_sources,official_source_audit,react_loop,True,0.375,0.2727,0.1121,0.3333,3,11,8,8,"[588, 589, 613]",[]
hku_cuhk_startup_examples,startup_examples,deterministic_controller,True,0.625,1.0,2.3167,1.0,2,2,6,8,"[589, 594]",[]
hku_cuhk_startup_examples,startup_examples,coverage_rag,True,0.625,1.0,2.3167,1.0,2,2,6,8,"[589, 594]",[]
hku_cuhk_startup_examples,startup_examples,plan_execute,True,0.375,0.5,1.5,1.0,1,2,3,8,[594],[]
hku_cuhk_startup_examples,startup_examples,react_loop,True,0.625,1.0,2.3167,1.0,2,2,6,8,"[589, 594]",[]
shenzhen_commercialization_policy,shenzhen_policy,deterministic_controller,True,0.0,0.0,0.0,0.0,0,4,8,8,[],[]
shenzhen_commercialization_policy,shenzhen_policy,coverage_rag,True,0.0,0.0,0.0,0.0,0,4,8,8,[],[]
shenzhen_commercialization_policy,shenzhen_policy,plan_execute,True,0.0,0.0,0.0,0.0,0,4,6,8,[],[]
shenzhen_commercialization_policy,shenzhen_policy,react_loop,True,0.0,0.0,0.0,0.0,0,4,8,8,[],[]
shenzhen_talent_and_training_support,shenzhen_policy,deterministic_controller,True,0.0,0.0,0.0,0.0,0,4,5,8,[],[]
shenzhen_talent_and_training_support,shenzhen_policy,coverage_rag,True,0.0,0.0,0.0,0.0,0,4,5,8,[],[]
shenzhen_talent_and_training_support,shenzhen_policy,plan_execute,True,0.0,0.0,0.0,0.0,0,4,4,8,[],[]
shenzhen_talent_and_training_support,shenzhen_policy,react_loop,True,0.0,0.0,0.0,0.0,0,4,5,8,[],[]
shenzhen_vc_and_sme_policy,shenzhen_policy,deterministic_controller,True,0.0,0.0,0.0,0.0,0,3,8,8,[],[]
shenzhen_vc_and_sme_policy,shenzhen_policy,coverage_rag,True,0.0,0.0,0.0,0.0,0,3,8,8,[],[]
shenzhen_vc_and_sme_policy,shenzhen_policy,plan_execute,True,0.0,0.0,0.0,0.0,0,3,6,8,[],[]
shenzhen_vc_and_sme_policy,shenzhen_policy,react_loop,True,0.0,0.0,0.0,0.0,0,3,8,8,[],[]
hong_kong_vs_shenzhen_support_model,cross_border_comparison,deterministic_controller,True,0.125,0.1,0.0333,0.3333,1,10,5,8,[588],[]
hong_kong_vs_shenzhen_support_model,cross_border_comparison,coverage_rag,True,0.125,0.1,0.0333,0.3333,1,10,5,8,[588],[]
hong_kong_vs_shenzhen_support_model,cross_border_comparison,plan_execute,True,0.125,0.1,0.0333,0.3333,1,10,5,8,[588],[]
hong_kong_vs_shenzhen_support_model,cross_border_comparison,react_loop,True,0.125,0.1,0.0333,0.3333,1,10,5,8,[588],[]
cross_border_data_gaps,gap_analysis,deterministic_controller,True,0.0,0.0,0.0,0.0,0,8,8,8,[],[]
cross_border_data_gaps,gap_analysis,coverage_rag,True,0.0,0.0,0.0,0.0,0,8,8,8,[],[]
