case_id,category,architecture,overall_score,rag_score,retrieval_score,confidence,source_mode,failure_reasons,question,answer_preview
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,0.723,0.788,0.4875,High,internal_only,Smoke check failed: answer_contains:commercialization; RAG dimension failed: answer_relevance - Answer matched 6 of 17 key question terms.,"What commercialization and startup-support pathway does HKU appear to provide through its Technology Transfer Office, startup or spin-off pages, and iDendron?",The controlled research loop found these supported points: - An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( ) or means you’ve safely connected... [1] - . Home 2. Startups HKU Startup...
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,0.771,0.7749,0.825,Low,internal_only,Smoke check failed: intent; Smoke check failed: web_used,"What evidence do we have that CUHK supports knowledge transfer, entrepreneurship, and startup discovery?",The controlled research loop found these supported points: - Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of... [1] - Call for Applications - 6th Asia...
hk_university_support_comparison,comparison,deterministic_controller,0.615,0.7108,0.4213,High,internal_only,Smoke check failed: answer_contains:HKU; Smoke check failed: answer_contains:HKUST; Smoke check failed: answer_contains:PolyU; Smoke check failed: answer_contains:EdUHK; RAG dimension failed: context_relevance - Matched 7 of 13 question terms in retrieved context.; RAG dimension failed: answer_relevance - Answer matched 5 of 13 key question terms.,"Compare the Hong Kong university entrepreneurship support signals across HKU, CUHK, HKUST, PolyU, HKBU, and EdUHK.",The controlled research loop found these supported points: - Font Size Login CUHK - ORKTS Announcements Event Highlight HKTDC Hong Kong International Medical and Healthcare Fair (11 – 13 May 2026) Event Highlight Asia Summit on Global Health (ASGH) (11 – 12 May 2026) Event Highlight Pitching Skills Workshop - The 12th... [1] - jijis Skip to main content...
hk_startup_support_official_sources,official_source_audit,deterministic_controller,0.655,0.75,0.3206,High,internal_only,Smoke check failed: answer_contains:official; RAG dimension failed: answer_relevance - Answer matched 4 of 12 key question terms.,Which official or high-reliability Hong Kong sources in the library are most useful for a founder researching startup support?,The controlled research loop found these supported points: - ) + Marketing Product Marketing Jobs Client Support Jobs + Data Analytics Client Support Jobs Client Onboarding Jobs + Corporate Actions Client Onboarding Jobs Jobs in Hong Kong + Intern Jobs in Hong Kong + Graduate Programme Jobs in Hong Kong + Internship... [1] - About Us - 香港技術與創新支持中心 HKTISC...
hku_cuhk_startup_examples,startup_examples,deterministic_controller,0.769,0.7056,0.8687,High,internal_only,Smoke check failed: answer_contains:HKU; RAG dimension failed: answer_relevance - Answer matched 1 of 7 key question terms.; RAG dimension failed: self_containment - Answer includes 3 of 7 important question terms.,What startup examples or startup directories are available from HKU and CUHK sources?,The controlled research loop found these supported points: - Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of... [1] - News & Events Events...
shenzhen_commercialization_policy,shenzhen_policy,deterministic_controller,0.415,0.5481,0.0,High,internal_only,Smoke check failed: answer_contains:Shenzhen; Smoke check failed: answer_contains:commercialization; Smoke check failed: answer_contains:funding; Retrieval missed all labeled relevant chunks/sources.; RAG dimension failed: answer_relevance - Answer matched 4 of 10 key question terms.; RAG dimension failed: context_support - Context contained 0 of 1 required claim(s).; RAG dimension failed: self_containment - Answer includes 3 of 8 important question terms.,"What do Shenzhen government sources say about technology commercialization, science and technology plans, and R&D funding management?",The controlled research loop found these supported points: - PA P E R M AY 2 0 2 2 T E C H N O L O G Y A N D P U B L I C P U R P O S E P R O J E C T Deep Tech Entrepreneurship: From Lab to Impact Main Author: Livio Valenti Research Assistants: Philipp Heuermann and Heather Ichord Technology and Public Purpose Project... [1] - ABOUT NACIE The National...
shenzhen_talent_and_training_support,shenzhen_policy,deterministic_controller,0.474,0.6464,0.0,High,internal_only,Smoke check failed: answer_contains:Shenzhen; Smoke check failed: answer_contains:subsidy; Smoke check failed: answer_contains:training; Retrieval missed all labeled relevant chunks/sources.; RAG dimension failed: context_relevance - Matched 7 of 13 question terms in retrieved context.; RAG dimension failed: answer_relevance - Answer matched 2 of 13 key question terms.; RAG dimension failed: self_containment - Answer includes 3 of 8 important question terms.,"What Shenzhen policy evidence exists for entrepreneurship support through overseas returnee subsidies, doctoral innovation carriers, and entrepreneurship training?","The controlled research loop found these supported points: - - Business not profitable (29.4%) - Family or personal reasons (21.0%) - Problems getting finance (16.2%) For men, the top three reasons were: - Business not profitable (30.3%) - Another opportunity, such as a job, retirement, or school (17.1%) - Problems... [1] - . For policymakers and..."
shenzhen_vc_and_sme_policy,shenzhen_policy,deterministic_controller,0.453,0.5408,0.0,High,internal_only,Smoke check failed: answer_contains:Shenzhen; Retrieval missed all labeled relevant chunks/sources.; RAG dimension failed: answer_relevance - Answer matched 6 of 16 key question terms.; RAG dimension failed: context_support - Context contained 0 of 1 required claim(s).,"Which Shenzhen sources discuss venture capital development or high-quality SME cultivation, and why are they relevant to startup ecosystem benchmarking?","The controlled research loop found these supported points: - . This strategy also utilizes an R&D tax credit to incentivize investment in robotics, which ranges from 8.5 percent to 18.5 percent, depending on company size and R&D intensity.[[55]]( edn55) Additionally, Australia has begun implementing a series of grants... [1] - ith entrepreneurs in deprived..."
hong_kong_vs_shenzhen_support_model,cross_border_comparison,deterministic_controller,0.445,0.5512,0.1554,High,internal_only,Smoke check failed: answer_contains:Hong Kong; Smoke check failed: answer_contains:Shenzhen; Smoke check failed: answer_contains:university; Smoke check failed: answer_contains:policy; RAG dimension failed: answer_relevance - Answer matched 1 of 11 key question terms.; RAG dimension failed: context_support - Context contained 1 of 2 required claim(s).; RAG dimension failed: self_containment - Answer includes 2 of 8 important question terms.,Compare Hong Kong university-led startup support with Shenzhen government-led commercialization and entrepreneurship policy support.,The controlled research loop found these supported points: - 3 Aug 2023 AI＆Web3 前海 Web3 Hub 揭牌仪式 圓滿舉辦 綻放啟程 8月3日下午兩點，由前海Web3Hub、EDGE、HKBA主辦的“前海Web3 Hub 揭牌儀式 暨全球AI&Web3投資峰會中國區介紹會”圓滿舉辦，前海Web3 Hub開啟了新的篇章。 9 Nov 2022 AI＆Web3 火大教育于佳宁受聘出任香港區塊鏈協會榮譽主席 近日，火大教育校長于佳宁博士受聘成為新加坡亞洲區塊鏈產業研究院元宇宙專業委員會主席、香港區塊鏈協會榮譽主席、Alibaba... [1] - The Global Startup Ecosystem Report 2025 The...
cross_border_data_gaps,gap_analysis,deterministic_controller,0.437,0.6454,0.0,Low,internal_only,Smoke check failed: intent; Smoke check failed: web_used; Smoke check failed: answer_contains:Shenzhen; Smoke check failed: answer_contains:gap; Retrieval missed all labeled relevant chunks/sources.; RAG dimension failed: answer_relevance - Answer matched 5 of 15 key question terms.; RAG dimension failed: context_support - Context contained 1 of 2 required claim(s).,What data gaps remain if we want to compare Hong Kong and Shenzhen startup support rigorously from the current internal source library?,The controlled research loop found these supported points: - Financial Morning Coffee: Senior banking MD's new girlfriend reveals he bears little resemblance to LinkedIn photo. Hudson River Trading's immense operational leverage 12 May 2026 2 0 Financial Morning Coffee: Chirayu Rana wants to go the whole way with... [1] - Add datasets to the download queue...
