case_id,category,architecture,dimension,score,passed,label,critique
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,context_relevance,0.8235,True,pass,Matched 14 of 17 question terms in retrieved context.
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,faithfulness,0.8571,True,pass,6 answer sentence(s) were strongly supported; 0 were weakly supported.
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,answer_relevance,0.5471,False,fail,Answer matched 6 of 17 key question terms.
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,context_support,1.0,True,pass,Context contained 2 of 2 required claim(s).
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,answerability,1.0,True,pass,Answerability matched available context.
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,self_containment,0.5,True,pass,Answer includes 4 of 8 important question terms.
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,context_relevance,0.6364,True,pass,Matched 7 of 11 question terms in retrieved context.
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,faithfulness,0.8333,True,pass,5 answer sentence(s) were strongly supported; 0 were weakly supported.
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,answer_relevance,0.5545,True,pass,Answer matched 4 of 11 key question terms.
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,context_support,1.0,True,pass,Context contained 1 of 1 required claim(s).
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,answerability,1.0,True,pass,Answerability matched available context.
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,self_containment,0.625,True,pass,Answer includes 5 of 8 important question terms.
hk_university_support_comparison,comparison,deterministic_controller,context_relevance,0.5385,False,fail,Matched 7 of 13 question terms in retrieved context.
hk_university_support_comparison,comparison,deterministic_controller,faithfulness,0.8571,True,pass,6 answer sentence(s) were strongly supported; 0 were weakly supported.
hk_university_support_comparison,comparison,deterministic_controller,answer_relevance,0.3692,False,fail,Answer matched 5 of 13 key question terms.
hk_university_support_comparison,comparison,deterministic_controller,context_support,1.0,True,pass,Context contained 3 of 3 required claim(s).
hk_university_support_comparison,comparison,deterministic_controller,answerability,1.0,True,pass,Answerability matched available context.
hk_university_support_comparison,comparison,deterministic_controller,self_containment,0.5,True,pass,Answer includes 4 of 8 important question terms.
hk_startup_support_official_sources,official_source_audit,deterministic_controller,context_relevance,0.6667,True,pass,Matched 8 of 12 question terms in retrieved context.
hk_startup_support_official_sources,official_source_audit,deterministic_controller,faithfulness,0.8,True,pass,4 answer sentence(s) were strongly supported; 0 were weakly supported.
hk_startup_support_official_sources,official_source_audit,deterministic_controller,answer_relevance,0.5333,False,fail,Answer matched 4 of 12 key question terms.
hk_startup_support_official_sources,official_source_audit,deterministic_controller,context_support,1.0,True,pass,Context contained 1 of 1 required claim(s).
hk_startup_support_official_sources,official_source_audit,deterministic_controller,answerability,1.0,True,pass,Answerability matched available context.
hk_startup_support_official_sources,official_source_audit,deterministic_controller,self_containment,0.5,True,pass,Answer includes 4 of 8 important question terms.
hku_cuhk_startup_examples,startup_examples,deterministic_controller,context_relevance,0.5714,True,pass,Matched 4 of 7 question terms in retrieved context.
hku_cuhk_startup_examples,startup_examples,deterministic_controller,faithfulness,0.8333,True,pass,5 answer sentence(s) were strongly supported; 0 were weakly supported.
hku_cuhk_startup_examples,startup_examples,deterministic_controller,answer_relevance,0.4,False,fail,Answer matched 1 of 7 key question terms.
hku_cuhk_startup_examples,startup_examples,deterministic_controller,context_support,1.0,True,pass,Context contained 1 of 1 required claim(s).
hku_cuhk_startup_examples,startup_examples,deterministic_controller,answerability,1.0,True,pass,Answerability matched available context.
hku_cuhk_startup_examples,startup_examples,deterministic_controller,self_containment,0.4286,False,fail,Answer includes 3 of 7 important question terms.
shenzhen_commercialization_policy,shenzhen_policy,deterministic_controller,context_relevance,0.8,True,pass,Matched 8 of 10 question terms in retrieved context.
shenzhen_commercialization_policy,shenzhen_policy,deterministic_controller,faithfulness,0.8333,True,pass,5 answer sentence(s) were strongly supported; 0 were weakly supported.
shenzhen_commercialization_policy,shenzhen_policy,deterministic_controller,answer_relevance,0.28,False,fail,Answer matched 4 of 10 key question terms.
